theme_label,category
belief_behavior_gap,structural
beliefs_traditional,structural
comprehensive_sex_ed,structural
cost,structural
distance_inequality,structural
distance_rural,structural
fgm_harm,structural
info_source_ai,info_source
info_source_chemist,info_source
info_source_clinic,info_source
info_source_family,info_source
info_source_online,info_source
info_source_peers,info_source
info_source_social_media,info_source
low_awareness,structural
male_exclusion,stigma_social
privacy_secrecy,stigma_social
provider_judgment,provider
religion,structural
service_stigma_gradient,stigma_social
stigma,stigma_social
unsafe_abortion,structural
